"hgnc_symbol"	"mim_morbid_accession"
"MLNR"	NA
"MTG2"	NA
"MSANTD3"	NA
"MSANTD3-TMEFF1"	NA
"MSH6"	614350
"MSH6"	608089
"MSH6"	276300
"MSN"	300988
"MTFMT"	614947
"MPP3"	NA
"MTCP1"	NA
"MKNK2"	NA
"MTCL1"	NA
"MSX1"	608874
"MSX1"	189500
"MSX1"	106600
"MNT"	NA
"MRPL21"	NA
"MRPS23"	NA
"MPPE1"	NA
"MOB3A"	NA
"MSLN"	NA
"MMP16"	NA
"MRPL50"	NA
"MRPL41"	NA
"MIS18BP1"	NA
"MLYCD"	248360
"MLANA"	NA
"MRC1"	NA
"MRPL40"	NA
"MSL3"	NA
"MPP2"	NA
"MSL1"	NA
"MIR4435-2HG"	NA
"MTCH2"	NA
"MPHOSPH8"	NA
"MOCS1"	252150
"MKS1"	617121
"MKS1"	615990
"MKS1"	249000
"MRPL35"	NA
"MRGPRF"	NA
"MIER2"	NA
"MRPL18"	NA
"MTA2"	NA
"MORC4"	NA
"MPP4"	NA
"MOCS3"	NA
"MPO"	254600
"MPO"	104300
"MPP5"	NA
"MRPL17"	NA
"MT4"	NA
"MPC1"	614741
"MT3"	NA
"MIPEP"	617228
"MRPL52"	NA
"MRPS10"	NA
"MPDZ"	615219
"MMP2"	259600
"MMP14"	277950
"MT2A"	NA
"MOCS2"	252160
"MT1M"	NA
"MRPL14"	NA
"MT1A"	NA
"MRPS34"	617664
"MT1DP"	NA
"MPG"	NA
"MT1F"	NA
"MPI"	602579
"MTFP1"	NA
"MT1G"	NA
"MT1H"	NA
"MT1X"	NA
"MOB1B"	NA
"MRPS6"	NA
"MROH8"	NA
"MIR1-1HG"	NA
"MRPS26"	NA
"MRPL15"	NA
"MRM1"	NA
"MORN5"	NA
"MIEF2"	NA
"MRPL28"	NA
"MOXD1"	NA
"MRGBP"	NA
"MLLT3"	NA
"MOGS"	606056
"MRO"	NA
"MRFAP1"	NA
"MRRF"	NA
"MLX"	NA
"MMP28"	NA
"MRPL53"	NA
"MMRN2"	NA
"MMS19"	NA
"MRPL34"	NA
"MRPL2"	NA
"MROH5"	NA
"MRPS35"	NA
"MRFAP1L1"	NA
"MRS2"	NA
"MPZL3"	NA
"MPZL2"	NA
"MLPH"	609227
"MTERF3"	NA
"MRGPRG"	NA
"MRPS28"	NA
"MLN"	NA
"MRPL13"	NA
"MTBP"	NA
"MPPED2"	NA
"MLLT1"	NA
"MRPL54"	NA
"MMP11"	NA
"MPDU1"	609180
"MSX2"	604757
"MSX2"	168550
"MSX2"	168500
"MISP"	NA
"MORN1"	NA
"MOS"	NA
"MRPS31"	NA
"MITD1"	NA
"MSH5"	617442
"MTAP"	NA
"MSC"	NA
"MORN4"	NA
"MRPL30"	NA
"MRPL23"	NA
"MLH3"	614385
"MLH3"	608089
"MLH1"	609310
"MLH1"	276300
"MLH1"	158320
"MNS1"	NA
"MINPP1"	188470
"MOB1A"	NA
"MRPL57"	NA
"MLIP"	NA
"MTHFD2"	NA
"MRPS5"	NA
"MRPL48"	NA
"MIPOL1"	NA
"MOBP"	NA
"MOGAT1"	NA
"MORN2"	NA
"MOB4"	NA
"MIF"	604302
"MTA3"	NA
"MRPL24"	NA
"MLF2"	NA
"MRVI1"	NA
"MPST"	NA
"MRPL36"	NA
"MRPS18A"	NA
"MOGAT2"	NA
"MSRB2"	NA
"MRPL45"	NA
"MN1"	607174
"MRPS25"	NA
"MNDA"	NA
"MMADHC"	277410
"MMP26"	NA
"MPV17L"	NA
"MTDH"	NA
"MILR1"	NA
"MRAP2"	615457
"MTFR2"	NA
"MLKL"	NA
"MPPED1"	NA
"MR1"	NA
"MSMB"	611928
"MRPL49"	NA
"MIP"	615274
"MPLKIP"	234050
"MKL2"	NA
"MIOS"	NA
"MRPL38"	NA
"MIEN1"	NA
"MTHFD1"	617780
"MTHFD1"	601634
"MTG1"	NA
"MRPS9"	NA
"MPP6"	NA
"MRPL10"	NA
"MSR1"	614266
"MSR1"	176807
"MTFR1"	NA
"MRPS36"	NA
"MLLT6"	NA
"MSRA"	NA
"MRPL20"	NA
"MTERF4"	NA
"MTERF1"	NA
"MMP9"	613073
"MRPL11"	NA
"MKRN3"	615346
"MKRN3"	176270
"MPZ"	607791
"MPZ"	607736
"MPZ"	607677
"MPZ"	605253
"MPZ"	180800
"MPZ"	145900
"MPZ"	118200
"MST1"	NA
"MIEF1"	NA
"MPEG1"	NA
"MRPL32"	NA
"MRPS16"	610498
"MTERF2"	NA
"MTCH1"	NA
"MORN3"	NA
"MPV17"	256810
"MSTN"	614160
"MMP15"	NA
"MOB3B"	NA
"MRPS33"	NA
"MORC3"	NA
"MRI1"	NA
"MRPS15"	NA
"MLXIP"	NA
"MIS18A"	NA
"MRPS2"	NA
"MPZL1"	NA
"MRTO4"	NA
"MROH2B"	NA
"MIER1"	NA
"MPC2"	NA
"MIOX"	NA
"MTF1"	NA
"MRPL19"	NA
"MROH9"	NA
"MOGAT3"	NA
"MRPL16"	NA
"MKX"	NA
"MOCOS"	603592
"MRPL55"	NA
"MRPL51"	NA
"MS4A3"	NA
"MRPL58"	NA
"MORC2"	616688
"MRPL39"	NA
"MMP7"	NA
"MMP20"	612529
"MLXIPL"	194050
"MRPS14"	NA
"MRPS30"	NA
"MS4A2"	147050
"MRPL33"	NA
"MPP7"	NA
"MS4A6A"	NA
"MST1R"	617075
"MLST8"	NA
"MON1A"	NA
"MRPS7"	617872
"MRPL3"	614582
"MOK"	NA
"MIF4GD"	NA
"MPRIP"	NA
"MRPS18C"	NA
"MMAB"	251110
"MTFR1L"	NA
"MOV10L1"	NA
"MMP19"	611543
"MINK1"	NA
"MROH2A"	NA
"MKL1"	NA
"MIIP"	NA
"MKLN1"	NA
"MS4A4E"	NA
"MMP23B"	NA
"MON1B"	NA
"MS4A4A"	NA
"MS4A6E"	NA
"MS4A14"	NA
"MRC2"	NA
"MS4A7"	NA
"MMP21"	616749
"MS4A5"	NA
"MTHFD1L"	NA
"MRPL1"	NA
"MME"	617018
"MME"	617017
"MME"	614692
"MS4A1"	613495
"MSMO1"	616834
"MMD2"	NA
"MPHOSPH9"	NA
"MOV10"	NA
"MS4A12"	NA
"MPV17L2"	NA
"MS4A13"	NA
"MT1HL1"	NA
"MPP1"	NA
"MMAA"	251100
"MTA1"	NA
"MSH4"	NA
"MS4A8"	NA
"MS4A18"	NA
"MMP8"	NA
"MRPL27"	NA
"MMP3"	614466
"MMP1"	606963
"MMP1"	226600
"MRAS"	NA
"MMP10"	NA
"MND1"	NA
"MMP17"	NA
"MRPS17"	NA
"MOB3C"	NA
"MKNK1"	NA
"MMP12"	NA
"MSL2"	NA
"MMP24"	NA
"MT1P3"	NA
"MMACHC"	277400
"MIRLET7BHG"	NA
"MMP13"	602111
"MMP13"	250400
"MSH3"	617100
"MSH3"	608089
"MRPS21"	NA
"MRPS12"	NA
"MKKS"	605231
"MKKS"	236700
"MKKS"	209900
"MRPS22"	611719
"MRPL46"	NA
"MRPS11"	NA
"MKRN2OS"	NA
"MKRN2"	NA
"MMRN1"	NA
"MPL"	604498
"MPL"	601977
"MPL"	254450
"MMP25"	NA
"MRPL47"	NA
"MNX1"	176450
"MKRN1"	NA
"MRPL9"	NA
"MORF4L1"	NA
"MRPL37"	NA
"MSRB3"	613718
"MRPL22"	NA
"MRPL42"	NA
"MRPL12"	NA
"MTF2"	NA
"MRPS27"	NA
"MKI67"	NA
"MLF1"	NA
"MITF"	617306
"MITF"	614456
"MITF"	193510
"MITF"	103500
"MITF"	103470
"MSI1"	NA
"MLC1"	604004
"MLEC"	NA
"MSTO1"	617675
"MIR20A"	NA
"MIR9-3"	NA
"MIR331"	NA
"MIR124-2"	NA
"MIR30E"	NA
"MIR126"	NA
"MIR330"	NA
"MIR107"	NA
"MIR326"	NA
"MIR16-2"	NA
"MIR7-1"	NA
"MIRLET7A1"	NA
"MIR181B2"	NA
"MIR7-3"	NA
"MIR224"	NA
"MIR101-1"	NA
"MIR100"	NA
"MIR133A1"	NA
"MIR135A2"	NA
"MIR135B"	NA
"MIR16-1"	NA
"MIR520G"	NA
"MIR155"	NA
"MIR128-2"	NA
"MIR30B"	NA
"MIR451A"	NA
"MIR30D"	NA
"MIR1-2"	NA
"MIR193B"	NA
"MIR1-1"	NA
"MIR195"	NA
"MIR30A"	NA
"MIR200A"	NA
"MIR146A"	NA
"MIR29A"	NA
"MIR21"	NA
"MIR141"	NA
"MIR19A"	NA
"MIR520E"	NA
"MIR129-2"	NA
"MIR520C"	NA
"MIR34A"	NA
"MIR15B"	NA
"MIR92A1"	NA
"MIR214"	NA
"MIR122"	NA
"MIR128-1"	NA
"MIR181D"	NA
"MIRLET7G"	NA
"MIR124-3"	NA
"MIRLET7D"	NA
"MIRLET7B"	NA
"MIR31"	NA
"MIR143"	NA
"MIR129-1"	NA
"MIR125B1"	NA
"MIR137"	NA
"MIR210"	NA
"MIR221"	NA
"MIR183"	NA
"MIR449A"	NA
"MIR199A2"	NA
"MIR181B1"	NA
"MIR145"	NA
"MIRLET7E"	NA
"MIR19B1"	NA
"MIR23A"	NA
"MIR103B1"	NA
"MIR125A"	NA
"MIR200C"	NA
"MIR32"	NA
"MIR223"	NA
"MIR520H"	NA
"MIR345"	NA
"MIR133A2"	NA
"MIRLET7A3"	NA
"MIR30C1"	NA
"MIR29B2"	NA
"MIR9-2"	NA
"MIR10B"	NA
"MIR29B1"	NA
"MIR19B2"	NA
"MIR29C"	NA
"MIR9-1"	NA
"MIR10A"	NA
"MIR199A1"	NA
"MIR520B"	NA
"MIRLET7C"	NA
"MIR135A1"	NA
"MIR222"	NA
"MIRLET7A2"	NA
"MIR103A1"	NA
"MIR133B"	NA
"MIR124-1"	NA
"MIR17"	NA
"MIR7-2"	NA
"MIR200B"	NA
"MIR103B2"	NA
"MIR181A1"	NA
"MIR34B"	NA
"MIR520A"	NA
"MIR125B2"	NA
"MIR335"	NA
"MIR602"	NA
"MIR101-2"	NA
"MIR15A"	NA
"MIR373"	NA
"MIRLET7F2"	NA
"MIR92A2"	NA
"MIRLET7I"	NA
"MIR181C"	NA
"MIR152"	NA
"MIR103A2"	NA
"MIR99A"	NA
"MIR26A1"	NA
"MIR18A"	NA
"MIR181A2"	NA
"MIR30C2"	NA
"MIR106B"	NA
"MIR205"	NA
"MIR26A2"	NA
"MIRLET7F1"	NA
"NFU1"	605711
"NCAN"	NA
"MUC5AC"	NA
"NECAP2"	NA
"NCBP2L"	NA
"NEU1"	256550
"MYH11"	132900
"NDUFS3"	256000
"NDUFS3"	252010
"MTRNR2L1"	NA
"MYO3B"	NA
""	NA
"NDE1"	614019
"NDE1"	605013
"MUS81"	NA
"NEK6"	NA
"NCLN"	NA
"MUC4"	NA
"NAA16"	NA
"MYH2"	605637
"NDUFS1"	252010
"MYH1"	NA
"MUM1"	NA
"NDUFAF4"	252010
"MYH8"	608837
"MYH8"	158300
"MUC5B"	178500
"MYH4"	NA
"MYOM2"	NA
"NET1"	NA
"NEURL4"	NA
"NAB1"	NA
"NEUROD1"	606394
"NEUROD1"	125853
"NDUFA10"	256000
"NDUFB10"	NA
"NAGPA"	NA
"MYO5B"	251850
"NANOS1"	615413
"MYOT"	609200
"MYOT"	182920
"MYOT"	159000
"NBPF22P"	NA
"MTMR3"	NA
"NAA40"	NA
"NCALD"	NA
"NCR1"	NA
"NDUFAF5"	252010
"MTNR1B"	125853
"MYPOP"	NA
"NANOS2"	NA
"NAIF1"	NA
"NDUFS7"	256000
"NDUFA3"	NA
"MUC7"	600807
"MYO19"	NA
"NDUFV2"	252010
"NCF1"	233700
"NFIC"	NA
"MYZAP"	NA
"MUC15"	NA
"NAPRT"	NA
"NDUFAF7"	NA
"NAP1L4"	NA
"NECAB3"	NA
"NCBP3"	NA
"NAMPT"	NA
"NANS"	610442
"NECAB2"	NA
"NDFIP2"	NA
"MUM1L1"	NA
"NCKAP5"	NA
"NDUFA13"	607464
"NCAPH"	NA
"NDUFA9"	256000
"NFKBIL1"	180300
"NDUFB6"	NA
"NAGK"	NA
"MYH3"	601680
"MYH3"	193700
"MYH3"	178110
"MTMR12"	NA
"MTO1"	614702
"MVD"	614714
"NBN"	613065
"NBN"	609135
"NBN"	251260
"NADK"	NA
"MXD1"	NA
"NAV2"	NA
"NELFE"	NA
"MUSK"	616325
"MUSK"	208150
"NEFM"	NA
"NEFL"	617882
"NEFL"	607734
"NEFL"	607684
"NEU4"	NA
"MTIF2"	NA
"NAGS"	237310
"MTX2"	NA
"NEURL3"	NA
"MYT1"	NA
"MTPAP"	613672
"MTRR"	601634
"MTRR"	236270
"MUC20"	NA
"NFATC2"	NA
"NADK2"	616034
"NCOR1"	NA
"NEK8"	615415
"NEK8"	613824
"MYLK2"	192600
"NDUFA11"	252010
"NAPEPLD"	NA
"NDUFA6"	NA
"NCR3"	609148
"NFKBID"	NA
"NATD1"	NA
"NANP"	NA
"NDUFAF2"	256000
"NDUFAF2"	252010
"MYH14"	614369
"MYH14"	600652
"NFE2L2"	617744
"NEDD9"	NA
"MTMR14"	160150
"NFRKB"	NA
"NFYA"	NA
"MYOZ1"	NA
"MYO10"	NA
"MYO1C"	NA
"NDUFS4"	256000
"NDUFS4"	252010
"MYO18B"	616549
"NDFIP1"	NA
"MYLK4"	NA
"MZT2B"	NA
"MTMR4"	NA
"NAT8"	NA
"NAT8B"	NA
"MYO1B"	NA
"MTMR2"	601382
"MYO6"	607821
"MYO6"	606346
"NCF1C"	NA
"NDUFV3"	NA
"NFE2L1"	NA
"NECTIN1"	225060
"NFKB2"	615577
"NDUFAF3"	252010
"NFIX"	614753
"NFIX"	602535
"MYCT1"	NA
"NDUFA1"	252010
"NECAB1"	NA
"MTRF1L"	NA
"NAPG"	NA
"NEURL2"	NA
"NCOA2"	NA
"MYL4"	617280
"MYPN"	617336
"MYPN"	615248
"NF1"	607785
"NF1"	601321
"NF1"	193520
"NF1"	162210
"NF1"	162200
"NAPSA"	NA
"NEDD8"	NA
"MZB1"	NA
"NELFCD"	NA
"MYBPC3"	615396
"MYBPC3"	115197
"NELL1"	NA
"NDST1"	616116
"MUC6"	NA
"NCOA1"	NA
"MYLPF"	NA
"MYOZ3"	NA
"NBAS"	616483
"NBAS"	614800
"MYL7"	NA
"NCS1"	NA
"NEBL"	NA
"MYT1L"	616521
"NAXD"	NA
"NFATC3"	NA
"NDUFAB1"	NA
"NEDD4"	NA
"NDC80"	NA
"MXD3"	NA
"NCF4"	613960
"NFX1"	NA
"NBEA"	NA
"MYO1A"	607841
"NANOGNB"	NA
"NCKAP1"	NA
"NANOG"	NA
"NARF"	NA
"NCOA6"	NA
"NFIB"	NA
"NABP1"	NA
"MX2"	NA
"MYL1"	NA
"NALCN"	616266
"NALCN"	615419
"MUC2"	NA
"NAA10"	309800
"NAA10"	300855
"MYEF2"	NA
"NCAPG"	NA
"NACC1"	617393
"MYD88"	612260
"MYD88"	153600
"MYLK3"	NA
"NEU3"	NA
"MYO1D"	NA
"MYO1G"	NA
"NAT1"	NA
"MTMR8"	NA
"NDUFA5"	NA
"NAT2"	243400
"MVB12B"	NA
"NELFA"	NA
"NEFH"	616924
"NEFH"	105400
"MYL5"	NA
"MXRA5"	NA
"NAB2"	NA
"MYOCD"	NA
"MZF1"	NA
"NAP1L2"	NA
"MX1"	NA
"NFS1"	NA
"MYADM"	NA
"MYB"	NA
"NAT8L"	614063
"NFKBIE"	NA
"NDUFA7"	NA
"MYCN"	189960
"MYCN"	164280
"NEK9"	617025
"NEK9"	617022
"NEK9"	614262
"NEMF"	NA
"NACAD"	NA
"NCDN"	NA
"MYOM1"	NA
"NAA50"	NA
"MTMR6"	NA
"NEURL1B"	NA
"MYO1E"	614131
"NDUFAF1"	252010
"N4BP2"	NA
"MYH15"	NA
"NFIL3"	NA
"NAXE"	617186
"MXD4"	NA
"NES"	NA
"MUC19"	NA
"MYRIP"	NA
"NAIP"	NA
"MTHFS"	NA
"NF2"	607174
"NF2"	162091
"NF2"	101000
"NDUFA2"	256000
"MTRNR2L8"	NA
"NAA35"	NA
"NDST2"	NA
"N4BP1"	NA
"MYL12B"	NA
"MYL12A"	NA
"NEURL1"	NA
"NCAM1"	NA
"NDUFB7"	NA
"NAT14"	NA
"NEK3"	NA
"NECTIN2"	NA
"MYBBP1A"	NA
"MXRA8"	NA
"MYBPC2"	NA
"MVB12A"	NA
"NDUFAF6"	256000
"NARFL"	NA
"NDUFS6"	252010
"MYO9B"	609753
"NAT9"	NA
"NCMAP"	NA
"NDUFA4L2"	NA
"MYBL2"	NA
"NEK10"	NA
"NEUROG1"	NA
"NAE1"	NA
"NDUFB2"	NA
"NCOA4"	NA
"NECTIN3"	NA
"NCKIPSD"	NA
"MYLIP"	NA
"NAA38"	NA
"NDUFB8"	NA
"NCR2"	NA
"NCSTN"	142690
"NDUFA4"	NA
"MTOR"	616638
"MTOR"	607341
"NEK2"	615565
"MUC21"	NA
"NEK4"	NA
"NECTIN4"	613573
"NCF2"	233710
"NEUROG3"	610370
"NCR3LG1"	NA
"NDP"	310600
"NDP"	305390
"NDUFS2"	252010
"NDUFB1"	NA
"NAT10"	NA
"NFKB1"	616576
"NBL1"	NA
"NDRG1"	601455
"NAA20"	NA
"MYL6"	NA
"NCKAP5L"	NA
"NDN"	176270
"MYO18A"	NA
"MYL6B"	NA
"MTHFD2L"	NA
"NCAM2"	NA
"MTM1"	310400
"NAALADL1"	NA
"MUSTN1"	NA
"MTMR1"	NA
"NAP1L3"	NA
"MYH6"	614090
"MYH6"	614089
"MYH6"	613252
"MYH6"	613251
"MYH6"	192600
"MYO15A"	600316
"MYCBP2"	NA
"MTURN"	NA
"MYL9"	NA
"MYH7"	613426
"MYH7"	608358
"MYH7"	255310
"MYH7"	255160
"MYH7"	192600
"MYH7"	181430
"MYH7"	160500
"MZT1"	NA
"NFKBIZ"	NA
"NEB"	256030
"NACA"	NA
"NBPF4"	NA
"NCK2"	NA
"NFKBIA"	612132
"NAA15"	617787
"NEK7"	NA
"NBPF6"	NA
"NDUFC1"	NA
"NAPA"	NA
"MXRA7"	NA
"MYO3A"	607101
"NEK11"	NA
"MTMR9"	NA
"MTMR7"	NA
"NELL2"	NA
"NEUROD2"	NA
"NEIL1"	NA
"NEPRO"	NA
"NANOS3"	NA
"MXI1"	176807
"NCOA5"	NA
"MTPN"	NA
"NCAPH2"	NA
"MTIF3"	NA
"NABP2"	NA
"MYOC"	137750
"NAV1"	NA
"NARS"	NA
"NEU2"	NA
"NCAPD2"	NA
"MYOF"	NA
"NDEL1"	NA
"MYH10"	NA
"NDUFB4"	NA
"MYO1F"	NA
"NDRG4"	NA
"MYO7A"	601317
"MYO7A"	600060
"MYO7A"	276900
"MYL3"	608751
"MYO5C"	NA
"MUL1"	NA
"NADSYN1"	NA
"MYO1H"	NA
"NGB"	NA
"MYNN"	NA
"MYOG"	NA
"MYBPH"	NA
"NDRG2"	NA
"MYCBP"	NA
"MYBPHL"	NA
"NEGR1"	NA
"MVK"	610377
"MVK"	260920
"MVK"	175900
"MTRNR2L13"	NA
"MTMR10"	NA
"NCAPG2"	NA
"NEDD4L"	617201
"NDUFV1"	252010
"NFASC"	NA
"NDUFS5"	NA
"NCBP1"	NA
"NDOR1"	NA
"NDST3"	NA
"NBEAL2"	139090
"MUT"	251000
"NDUFB9"	252010
"NFATC4"	NA
"MTSS1"	NA
"NDUFB3"	252010
"MTHFR"	601634
"MTHFR"	236250
"MTHFR"	188050
"MTHFR"	181500
"NDUFB5"	NA
"MTTP"	605552
"MTTP"	200100
"NBEAL1"	NA
"NCOA3"	NA
"MYDGF"	NA
"NAP1L1"	NA
"NDUFB11"	300952
"NAA25"	NA
"NFATC1"	NA
"NBPF15"	NA
"MYO9A"	NA
"MUC16"	NA
"NFE2"	NA
"MTUS1"	NA
"MYBL1"	NA
"NDUFC2"	NA
"MVP"	NA
"NEIL2"	NA
"NASP"	NA
"NAF1"	NA
"MYL10"	NA
"NFYC"	NA
"MYO5A"	214450
"N4BP2L2"	NA
"NELFB"	NA
"MUC3A"	NA
"N4BP2L1"	NA
"MYOZ2"	613838
"NBPF10"	NA
"NCK1"	NA
"MUC12"	NA
"NBPF12"	NA
"NDUFA12"	256000
"NCOA7"	NA
"NAAA"	NA
"NECAP1"	615833
"MTUS2"	NA
"NEUROD6"	NA
"NFATC2IP"	NA
"MUC17"	NA
"MYH7B"	NA
"MYF6"	614408
"MYF5"	NA
"MYSM1"	NA
"MTR"	601634
"MTR"	250940
"NBPF11"	NA
"NCBP2"	NA
"NBPF14"	NA
"NFKBIB"	NA
"MZT2A"	NA
"NFE2L3"	NA
"MYBPC1"	614915
"MYBPC1"	614335
"NDNF"	NA
"MUTYH"	613659
"MUTYH"	608456
"MUTYH"	132600
"NARS2"	616239
"NBR1"	NA
"NAPB"	NA
"MYO16"	NA
"NEXN"	613876
"NEXN"	613122
"NBPF9"	NA
"NDUFA8"	NA
"NAV3"	NA
"NCKAP1L"	NA
"NCEH1"	NA
"MTMR11"	NA
"NCOR2"	NA
"NAALADL2"	NA
"NDUFS8"	256000
"NAP1L5"	NA
"NACC2"	NA
"NAGA"	609242
"NAGA"	609241
"NEK1"	617892
"NEK1"	263520
"MYLK"	613780
"NAA11"	NA
"N6AMT1"	NA
"MYOD1"	NA
"MUCL1"	NA
"MYL2"	608758
"MYO7B"	NA
"NAGLU"	616491
"NAGLU"	252920
"NEUROD4"	NA
"NCL"	NA
"NBPF3"	NA
"NEDD1"	NA
"NCCRP1"	NA
"NAALAD2"	NA
"MYCBPAP"	NA
"NEO1"	NA
"MYCL"	NA
"MUC22"	NA
"NDC1"	NA
"MYH9"	605249
"MYH9"	603622
"MYH9"	600208
"MYH9"	155100
"MYH9"	153650
"MYH9"	153640
"NFAM1"	NA
"NBPF8"	NA
"MUC13"	NA
"NCAPD3"	NA
"NAA30"	NA
"NFIA"	613735
"NDST4"	NA
"MYO15B"	NA
"NEIL3"	NA
"MYH13"	NA
"MYC"	113970
"MUC1"	174000
"NFYB"	NA
"MTX1"	NA
"MTNR1A"	NA
"NPM3"	NA
"NUP93"	616892
"NOXA1"	NA
"NME6"	NA
"OCM2"	NA
"NR3C1"	615962
"NOL12"	NA
"NSF"	NA
"NOTCH1"	616028
"NOTCH1"	109730
"NXPE2"	NA
"NWD2"	NA
"NLK"	NA
"NRGN"	NA
"NRBF2"	NA
"NLRX1"	NA
"NIPAL4"	612281
"NUMA1"	612376
"NSG1"	NA
"NMRK1"	NA
"OCA2"	227220
"OCA2"	203200
"NHS"	302350
"NHS"	302200
"NPIPB4"	NA
"NPBWR1"	NA
"NOSTRIN"	NA
"NLRP10"	NA
"NRIP2"	NA
"NSUN7"	NA
"NSUN2"	611091
"NOTCH3"	615293
"NOTCH3"	130720
"NOTCH3"	125310
"NPIPA7"	NA
"OGFOD3"	NA
"NLRP1"	617388
"NLRP1"	615225
"NLRP1"	606579
"ODF3"	NA
"NT5C3A"	266120
"OGG1"	144700
"NSMF"	614838
"NPTX2"	NA
"ODAM"	NA
"NRAP"	NA
"NUBPL"	252010
"NKX3-1"	NA
"NOTCH4"	NA
"NUP98"	NA
"NKX2-6"	217095
"NR5A1"	617480
"NR5A1"	613957
"NR5A1"	612965
"NR5A1"	612964
"NUP153"	NA
"NYAP2"	NA
"OLR1"	608446
"NRG3"	NA
"NUDT15"	616903
"NLRP2"	NA
"NOTUM"	NA
"NOVA2"	NA
"NMRK2"	NA
"NPIPA8"	NA
"NREP"	NA
"NLRP7"	231090
"NOL6"	NA
"NR6A1"	NA
"NKRF"	NA
"NXF5"	NA
"NHLRC4"	NA
"NUDT21"	NA
"OGFOD1"	NA
"NINJ2"	NA
"NRK"	NA
"NPHS1"	256300
"NUMBL"	NA
"NTF4"	613100
"NME5"	NA
"NKD2"	NA
"NME3"	NA
"NSMCE3"	617241
"NRIP1"	NA
"NOXO1"	NA
"OLFML2A"	NA
"NXF2"	NA
"NUDCD1"	NA
"NXF2B"	NA
"NTNG2"	NA
"OC90"	NA
"NLRC5"	NA
"NUPL2"	NA
"NOLC1"	NA
"NUDCD3"	NA
"NUDT22"	NA
"NTMT1"	NA
"NPIPB7"	NA
"NPAS3"	NA
"OCEL1"	NA
"NUP214"	613065
"NRTN"	NA
"NPBWR2"	NA
"NKX2-3"	NA
"NPTX1"	NA
"NKX6-2"	617560
"NHLRC2"	NA
"NOMO2"	NA
"ODF3L2"	NA
"NTSR2"	NA
"NR1H3"	NA
"NPSR1"	608584
"NINL"	NA
"NT5C3B"	NA
"NKAPL"	NA
"NUDT19"	NA
"NSDHL"	308050
"NSDHL"	300831
"NOL11"	NA
"NPRL3"	617118
"NOG"	611377
"NOG"	186570
"NOG"	186500
"NOG"	185800
"NOG"	184460
"NUP160"	NA
"NIN"	614851
"NUS1"	617831
"NUS1"	617082
"NMT1"	NA
"OARD1"	NA
"NR2F6"	NA
"NIPA1"	600363
"NUBP2"	NA
"NOMO3"	NA
"NPIPB5"	NA
"NRM"	NA
"NUP62CL"	NA
"NINJ1"	NA
"OLFML1"	NA
"NHLRC1"	254780
"ODF1"	NA
"OBSL1"	612921
"NIPA2"	NA
"NIPSNAP3A"	NA
"NIPSNAP3B"	NA
"OGDH"	203740
"NTF3"	NA
"OFD1"	311200
"OFD1"	300804
"OFD1"	300424
"OFD1"	300209
"NTN3"	NA
"NPR2"	616255
"NPR2"	615923
"NPR2"	602875
"ODC1"	NA
"NPR3"	NA
"NPW"	NA
"NKX2-5"	614435
"NKX2-5"	614432
"NKX2-5"	225250
"NKX2-5"	217095
"NKX2-5"	187500
"NKX2-5"	108900
"OFCC1"	NA
"NOP14"	NA
"NUTF2"	NA
"NUCB1"	NA
"NOL10"	NA
"NIPBL"	122470
"NUGGC"	NA
"NUDT12"	NA
"NTSR1"	NA
"OGFR"	NA
"NME4"	NA
"NR1H2"	NA
"NPHP1"	609583
"NPHP1"	266900
"NPHP1"	256100
"NKAP"	NA
"NUTM2B"	NA
"NRL"	613750
"NIP7"	NA
"NUDT2"	NA
"OMG"	NA
"NPDC1"	NA
"NHLRC3"	NA
"NKIRAS2"	NA
"NT5C2"	613162
"NRSN1"	NA
"OAZ1"	NA
"NPM1"	NA
"NUTM2E"	NA
"NKX3-2"	613330
"NSD1"	130650
"NSD1"	117550
"NOL9"	NA
"OLAH"	NA
"NMS"	NA
"NXT2"	NA
"NUP210"	NA
"NOX3"	NA
"NPTN"	NA
"NTRK2"	617830
"NTRK2"	613886
"OLFM4"	NA
"NNAT"	NA
"NPB"	NA
"NRXN2"	NA
"NUBP1"	NA
"NTHL1"	616415
"NPAS2"	NA
"NRXN1"	614332
"NRXN1"	614325
"NPAS4"	NA
"NUP35"	NA
"OCIAD1"	NA
"NUP155"	615770
"NT5M"	NA
"NR2C2AP"	NA
"NPIPA3"	NA
"NOP10"	224230
"NUTM1"	NA
"NSA2"	NA
"NLGN4Y"	NA
"NOS2"	611162
"NOS2"	145500
"NKX2-1"	610978
"NKX2-1"	188550
"NKX2-1"	118700
"NSMCE1"	NA
"NLGN3"	300494
"NLGN3"	300425
"NSUN5P2"	NA
"NLRP12"	611762
"NUTM2A"	NA
"NQO2"	114480
"NUTM2F"	NA
"NUTM2D"	NA
"NUDT5"	NA
"NMT2"	NA
"NKIRAS1"	NA
"NUMB"	NA
"NR1D2"	NA
"NUDT18"	NA
"NUFIP1"	NA
"OCIAD2"	NA
"NPEPPS"	NA
"NUDT10"	NA
"NPHP4"	606996
"NPHP4"	606966
"NRSN2"	NA
"NUDT11"	NA
"NPRL2"	617116
"NLGN4X"	300497
"NLGN4X"	300495
"NOP56"	614153
"NIPSNAP1"	NA
"NUDT3"	NA
"NRG2"	NA
"NOL7"	NA
"OIP5"	NA
"NLE1"	NA
"NR0B1"	300200
